artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists,type,duration,year,month,day_of_the_week
Ed Sheeran,2step (feat. Antytila),5it0QwktdpQ7oE33PbImkX,2step (feat. Antytila),0cNLR4ksEAAesnSOVzV33s,2022-05-02,34,False,0.506,0.695,E,-5.185,Minor,0.105,0.235,0.0,0.151,0.599,93.75,4,['Antytila'],Single,02:33,2022,May,Monday
Ed Sheeran,The City - Live at Sticky Studios; Loose Change EP,7cCsAsOKvFdOjQHpADku4O,5,2hyDesSAYNefikDJXlqhPE,2014-06-20,25,False,0.712,0.569,E,-6.032,Minor,0.204,0.507,0.0,0.412,0.837,105.032,4,[],Compilation Album,05:06,2014,June,Friday
Ed Sheeran,Sing - Live and in Session,5r6UJphd3l3sVEfeZpEZHy,Live and in Session,358s1FksXk3qh38nNdjJFk,2014-08-11,34,False,0.726,0.719,F#/Gb,-5.122,Minor,0.234,0.137,0.0,0.66,0.826,121.911,4,[],Extended Play,05:19,2014,August,Monday
Ed Sheeran,Take Me Back to London (feat. Stormzy),3ERZA2UXA1cD5WAELjSpa6,No.6 Collaborations Project,5oUZ9TEZR3wOdvqzowuNwl,2019-07-12,30,True,0.885,0.762,G#/Ab,-5.513,Minor,0.216,0.219,0.0,0.162,0.605,138.058,4,['Stormzy'],Studio Album,03:09,2019,July,Friday
Ed Sheeran,Fall - Live at the Bedford,1lG7S133U7vKOXy0n8WeEL,5,2hyDesSAYNefikDJXlqhPE,2014-06-20,24,False,0.494,0.0964,E,-16.691,Major,0.0532,0.807,7.13e-05,0.936,0.393,86.676,4,[],Compilation Album,02:31,2014,June,Friday
Ed Sheeran,Firefly - Bravado Dubstep Remix,0dQ5jI1SGoAX2QT6N95tad,5,2hyDesSAYNefikDJXlqhPE,2014-06-20,24,False,0.629,0.663,A,-10.516,Major,0.0283,0.28,0.711,0.0811,0.49,139.982,4,['Bravado'],Compilation Album,04:29,2014,June,Friday
Ed Sheeran,Be Right Now,3hPXXNKlZvD2l4KIgbo65V,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,23,False,0.501,0.684,B,-6.706,Major,0.0566,0.00494,0.000478,0.0524,0.442,131.952,4,[],Compilation Album,03:31,2022,May,Friday
Ed Sheeran,BLOW (with Chris Stapleton & Bruno Mars),3U0oiHpXqrIS3AsOvkaS08,No.6 Collaborations Project,5oUZ9TEZR3wOdvqzowuNwl,2019-07-12,23,False,0.631,0.796,C#/Db,-5.35,Major,0.0401,0.000245,0.0108,0.38,0.596,92.47,4,"['Chris Stapleton', 'Bruno Mars']",Studio Album,03:29,2019,July,Friday
Ed Sheeran,Sandman,2XKGiJ6CtXxlWdBpDiTa7y,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,23,False,0.822,0.3,C,-8.034,Major,0.0673,0.882,9.15e-05,0.0665,0.734,125.951,4,[],Compilation Album,04:19,2022,May,Friday
Ed Sheeran,Lately (feat. Devlin),5cth8vxCckeYgE10nX58re,5,2hyDesSAYNefikDJXlqhPE,2014-06-20,24,False,0.718,0.82,E,-5.552,Minor,0.103,0.0928,0.0,0.391,0.329,90.013,4,['Devlin'],Compilation Album,04:31,2014,June,Friday
